Schottlaender v4.0,Title,Publisher,Year,Description,Maynard and Miles,Image
A66a,Ghost of Chance,New York: Whitney Museum of Art,1991,"First. Signed by Burroughs and George Condo, the illustrator. Unnumbered, one of 160, in slipcase.",,Ghost%20of%20Chance.resources/ghost-of-chance_522292460_o.jpg
B18a,The Seven Deadly Sins,New York/St. Louis: Lococo/Mulder,1991,"First. Signed and numbered by Burroughs, 43 of 150. Leather bound, with shotgun pellet-perforated wood piece mounted on front cover. With shipping carton.",,The%20Seven%20Deadly%20Sins.resources/the-seven-deadly-sins_522292648_o.jpg
A60b,The Cat Inside,New York: Viking Penguin,1992,"Second. Without dust jacket, as issued.",,The%20Cat%20Inside_2.resources/the-cat-inside_522296979_o.jpg
A60b,The Cat Inside,New York: Viking Penguin,1992,"Second. Without dust jacket, as issued.",,The%20Cat%20Inside.resources/the-cat-inside_522297705_o.jpg
A67,Painting & Guns,"Madras, India and New York, NY: Hanuman Books",1992,First. In orange wrappers. Cover variant with standing monkey with staff on back.,,Painting%20&%20Guns.resources/painting--guns_522290900_o.jpg
A67,Painting & Guns,"Madras, India and New York, NY: Hanuman Books",1992,"First. In cream wrappers. Cover variant with monkey face surrounded by half circle on back, price tag on back, small tear to lower front.",,Painting%20&%20Guns_1.resources/painting--guns_12616727493_o.jpg
B20,Paper Cloud Thick Pages,Kyoto: Kyoto Shoin Int'l.,1992,First. In laminated pictorial cardboard hardcover.,,Paper%20Cloud%20Thick%20Pages.resources/paper-cloud-thick-pages_522298203_o.jpg
E22,"The ""Priest"" They Called Him","Portland, OR: Tim Kerr Records",1992,First on vinyl.,,The%20%22Priest%22%20They%20Called%20Him_1.resources/the-priest-they-called-him_522298437_o.jpg
E22,"The ""Priest"" They Called Him","Portland, OR: Tim Kerr Records",1992,First on CD.,,The%20%22Priest%22%20They%20Called%20Him.resources/the-priest-they-called-him_522294882_o.jpg
E5b,Break Through In Grey Room,"Brussels, Belgium: Sub Rosa",1993,Burroughs reading with support from Ian Sommerville and Brion Gysin.  CD.,,Break%20Through%20In%20Grey%20Room.resources/break-through-in-grey-room_522294860_o.jpg
H11a,The Letters of William S. Burroughs: 1945 - 1959,"New York: Viking Penguin, Inc.",1993,"First. Proof copy, with publisher's letter to reviewers laid in.",,The%20Letters%20of%20William%20S.%20Burroughs%3A%201945%20-%201959_1.resources/the-letters-of-william-s-burroughs-1945---1959_522301289_o.jpg
H11a,The Letters of William S. Burroughs: 1945 - 1959,"New York: Viking Penguin, Inc.",1993,First trade edition.,,The%20Letters%20of%20William%20S.%20Burroughs%3A%201945%20-%201959.resources/the-letters-of-william-s-burroughs-1945---1959_522297429_o.jpg
H32b,William Burroughs: El Hombre Invisible,New York: Hyperion,1993,First American edition.,,William%20Burroughs%3A%20El%20Hombre%20Invisible.resources/william-burroughs-el-hombre-invisible_522289892_o.jpg
,The Junky's Christmas And Other Yuletide Stories,London: Serpent's Tail Publishing,1994,"Contains ""The Junky's Christmas"" by Burroughs.",,The%20Junky's%20Christmas%20And%20Other%20Yuletide%20Stories.resources/the-junkys-christmas-and-other-yuletide-stories_522345923_o.jpg
A69,Photos and Remembering Jack Kerouac,"Louisville, KY: White Fields Press",1994,"First. Signed by Burroughs, lettered F of 26.",,Photos%20and%20Remembering%20Jack%20Kerouac.resources/photos-and-remembering-jack-kerouac_522291060_o.jpg
A70,Remembering Jack Kerouac,"Louisville, KY: White Fields Press",1994,"First. Signed by Burroughs, numbered 10 of 49.",,Remembering%20Jack%20Kerouac.resources/remembering-jack-kerouac_522338334_o.jpg
G17,A William Burroughs Birthday Book,London: Temple Press,1994,First. In stapled wrappers.,,A%20William%20Burroughs%20Birthday%20Book.resources/a-william-burroughs-birthday-book_522298907_o.jpg
A65b,Ghost of Chance,New York: High Risk Books,1995,First trade edition.,,Ghost%20of%20Chance_1.resources/ghost-of-chance_522301245_o.jpg
A72,Junky; Queer; Naked Lunch,New York: Quality Paperbook Book Club,1995,Softbound.,,Junky;%20Queer;%20Naked%20Lunch.resources/junky-queer-naked-lunch_8500954155_o.jpg
A73a,My Education: A Book of Dreams,"New York: Viking Press, Inc.",1995,First edition.,,My%20Education.resources/my-education_522288632_o.jpg
A74,Pantopon Rose,"Charleston, WV: Parchment Gallery Graphics",1995,"First. Signed and numbered by Burroughs, number 40 of 60.",,Pantopon%20Rose.resources/pantopon-rose_522299607_o.jpg
G1,"Report of the Death of an American Citizen ... Mexico, D.F., Mexico, September 24, 1951 ...Joan Vollmer Burroughs .../","Marlborough, MA: Water Row Books",1995,"First. Broadside, numbered 68 of 100.",,"Report%20of%20the%20Death%20of%20an%20American%20Citizen%20...%20Mexico,%20D.F.,%20Mexico,%20September%2024,%201951%20...Joan%20Vollmer%20Burroughs%20..._.resources/report-of-the-death-of-an-american-citizen.jpg"
,Venus Bound: The Erotic Voyage of the Olympia Press and Its Writers.,New York: Random House,1996,First.,,Venus%20Bound.resources/venus-bound_687615140_o.jpg
,The Beat Book,"Boston, MA: Shambhala Publications",1996,Edited by Anne Waldman. Contains seven selected writings by Burroughs. First.,,The%20Beat%20Book.resources/the-beat-book_10499266565_o.jpg
A49?,Essais - Tome I,Paris: Christian Bourgois Éditeur,1996,Second. Volume 1 of 2.,,Essais%20-%20Tome%20I_1.resources/essais---tome-i_10499262296_o.jpg
B22a,"Concrete and Buckshot: William S. Burroughs, Paintings 1987 - 1996",Los Angeles: Smart Art Press,1996,First.,,Concrete%20and%20Buckshot.resources/concrete-and-buckshot_522346051_o.jpg
B23a,Ports of Entry: Williams Burroughs and the Arts,"Los Angeles, CA: Los Angeles County Museum of Art ",1996,First. Produced for a 1996 exhibition at LACMA.,,Ports%20of%20Entry%3A%20Williams%20Burroughs%20and%20the%20Arts_1.resources/ports-of-entry-williams-burroughs-and-the-arts_10499249736_o.jpg
B23a,Ports of Entry: Williams Burroughs and the Arts,"Los Angeles, CA: Los Angeles County Museum of Art ",1996,First. Produced for a 1996 exhibition at LACMA. Mint in original shrinkwrap.,,Ports%20of%20Entry%3A%20Williams%20Burroughs%20and%20the%20Arts.resources/ports-of-entry-williams-burroughs-and-the-arts_522298267_o.jpg
G97?,Funeral Card,,1997,"Item from Schottlaender G97. The funeral card from the memorial service held in Lawrence, KS on August 6th, 1997.",,Funeral%20Card.resources/funeral-card_522298743_o.jpg
A76a,Word Virus: The William Burroughs Reader,New York: Grove Press,1998,First.,,Word%20Virus%3A%20The%20William%20Burroughs%20Reader.resources/word-virus-the-william-burroughs-reader_10499258116_o.jpg
A76a,Word Virus: The William Burroughs Reader,New York: Grove Press,1998,First.,,Word%20Virus%3A%20The%20William%20Burroughs%20Reader_1.resources/word-virus-the-william-burroughs-reader_522299775_o.jpg
,Paradise Outlaws,"New York: WIlliam Morrow & Company, Inc.",1999,First. Price sticker on front of dust jacket.,,Paradise%20Outlaws.resources/paradise-outlaws_522297657_o.jpg
A77,In Search of Yage,"Forest Knolls, CA: Skyline Books",1999,"First. Per James Musser: ""Contains three original b&w photographs of William Burroughs in the Amazon jungle in the 1950s. The photographs were taken by an unknown person who accompanied Burroughs on his South American expedition to research the use of yage by local curanderos, a journey chronicled in The Yage Letters. They show Burroughs in his pith helmet and safari clothes, in one photo wielding a machete, in another posing with a long rifle, and in the third he's standing with two native children. The 5"" x 7"" photographs are corner-mounted on paper that simulates the bark of the Banisteria caapi vine. The pages are bound into covers of richly textured, sumptuous hand-made paper bound at the spine with brass screws. The booklet was designed and hand-assembled by Johnny Brewton of X-Ray Book Co. in an edition limited to only 26 lettered copies. The photographs, two of which are previously unpublished, were reproduced from the original negatives and are the only prints to be made from these negatives. This first publication from Skyline Books is a nice companion to The Yage Letters, providing an intriguing look at William Burroughs as explorer and ethnobotanist. As new.""  Lettered R of 26.",,In%20Search%20of%20Yage.resources/in-search-of-yage_522298999_o.jpg
E3,The Best of William Burroughs,New York: Giorno Poetry Systems,1999,Contains booklet.,,The%20Best%20of%20William%20Burroughs.resources/the-best-of-william-burroughs_522290446_o.jpg
G77,"William S. Burroughs: Time, Place, Word","Providence, R.I.: Friends of the Library, Brown University",2000,First. Edited by Eric C. Shoaf and Robert H. Jackson.,,William%20S.%20Burroughs%3A%20Time%20Place%20Word.resources/william-s-burroughs-time-place-word_687614918_o.jpg
H10a,Last Words: The Final Journals of William S. Burroughs,"New York: Grove Press, Inc.",2000,First.,,Last%20Words_1.resources/last-words_522293212_o.jpg
H10a,Last Words: The Final Journals of William S. Burroughs,"New York: Grove Press, Inc.",2000,First.,,Last%20Words.resources/last-words_522289492_o.jpg
I11a,Collecting William S. Burroughs in Print: A Checklist,"Rumford, RI: Rock n' Roll Research Press",2000,"First. Compiled by Eric C. Shoaf. Signed by Shoaf, number 40 of 174 numbered copies.",,Collecting%20William%20S.%20Burroughs%20in%20Print.resources/collecting-william-s-burroughs-in-print_522290408_o.jpg
A79,Words of Advice for Young People,"Encinitas, CA: FreeThought Publications",2001,"First. Number 5 of 250. Signed by the photographer, Michael Monfort.",,Words%20of%20Advice%20for%20Young%20People.resources/words-of-advice-for-young-people_522338220_o.jpg
H7,"Burroughs Live: The Collected Interviews of William S. Burroughs, 1960-1997",Los Angeles: Semiotext(e),2001,First. Edited by Sylvere Lotringer.,,"Burroughs%20Live%3A%20The%20Collected%20Interviews%20of%20William%20S.%20Burroughs,%201960-1997.resources/burroughs-live-the-collected-interviews-of-william-s-burroughs-1960-1997_10499256596_o.jpg"
H7,"Burroughs Live: The Collected Interviews of William S. Burroughs, 1960-1997",Los Angeles: Semiotext(e),2001,First.  Edited by Sylvere Lotringer.,,"Burroughs%20Live%3A%20The%20Collected%20Interviews%20of%20William%20S.%20Burroughs,%201960-1997_1.resources/burroughs-live-the-collected-interviews-of-william-s-burroughs-1960-1997_687615412_o.jpg"
,Brion Gysin Tuning in to the Multimedia Age,London: Thames & Hudson Ltd.,2003,"First. Edited by Jose Ferez Kuri. Contains ""Port of Entry Here is space-time painting"" by Burroughs. First issue in wrappers.",,Brion%20Gysin%20Tuning%20in%20to%20the%20Multimedia%20Age.resources/brion-gysin-tuning-in-to-the-multimedia-age_10499257255_o.jpg
I28,WIlliam Burroughs and the Secret of Fascination,"Carbondale, Ill.: Southern Illinois University Press",2003,First. Hardbound in dustjacket.,,WIlliam%20Burroughs%20and%20the%20Secret%20of%20Fascination.resources/william-burroughs-and-the-secret-of-fascination_686751745_o.jpg
I4,William Burroughs Literary Archive,"Hadley, MA: Ken Lopez Bookseller",2005,First. An excellent description of and background to the sale of the Burroughs Archive to the New York Public Library.,,William%20Burroughs%20Literary%20Archive.resources/william-burroughs-literary-archive_687613854_o.jpg
A8e,The Yage Letters Redux,San Francisco: City Lights Books,2006,Second printing.,,The%20Yage%20Letters%20Redux.resources/the-yage-letters-redux_8500954319_o.jpg
H26,The Lost Years of William Burroughs: Beats in South Texas,"College Station, TX: Texas A&M University Press",2006,First. In wrappers.,,The%20Lost%20Years%20of%20William%20Burroughs%3A%20Beats%20in%20South%20Texas.resources/the-lost-years-of-william-burroughs-beats-in-south-texas_687613620_o.jpg
,Le Temps des Assassins,"Rouen, FR: Dérriere la Salle de Bains",2008,Pamphlet. Reproduction of texts by Burroughs translated to French by Lucien Suel and originally published in La Collection du Starscrewer nos. 7 (January 1978) and 12 (2nd quarter 1979.) First thus.,,Le%20Temps%20des%20Assassins.resources/le-temps-des-assassins_11389894404_o.jpg
A80,Everything Lost: The Latin American Notebook of WIlliam S. Burroughs,"Columbus, OH: Ohio State University Press",2008,First.,,Everything%20Lost%3A%20The%20Latin%20American%20Notebook%20of%20WIlliam%20S.%20Burroughs.resources/everything-lost-the-latin-american-notebook-of-william-s-burroughs_8502060662_o.jpg
A81,And The Hippos Were Boiled In Their Tanks,New York: Grove Press,2008,First.,,And%20The%20Hippos%20Were%20Boiled%20In%20Their%20Tanks.resources/and-the-hippos-were-boiled-in-their-tanks_8500954013_o.jpg
B29,"Cut-ups, Cut-ins, Cut-outs: The Art of WIlliam S. Burroughs",Nürnberg: Verlag für moderne Kunst; Wien: Kunsthalle Wien,2012,First.,,"Cut-ups,%20Cut-ins,%20Cut-outs%3A%20The%20Art%20of%20WIlliam%20S.%20Burroughs.resources/cut-ups-cut-ins-cut-outs-the-art-of-william-s-burroughs_8502060828_o.jpg"
H14,Rub Out The Words: The Letters of WIlliam S. Burroughs 1959-1974,New York: Ecco,2012,First.,,Rub%20Out%20The%20Words%3A%20The%20Letters%20of%20WIlliam%20S.%20Burroughs%201959-1974.resources/rub-out-the-words-the-letters-of-william-s-burroughs-1959-1974_8500953699_o.jpg
B30,Taking Shots: The Photography of William S. Burroughs,"Munich, DE: Prestel Verlag",2014,First. Edited by Patricia Allmer and John Sears. Produced for an exhibition of Burroughs' photographic work in 2014 at The Photographers' Gallery in London.,,Taking%20Shots%3A%20The%20Photography%20of%20William%20S.%20Burroughs.resources/taking-shots-the-photography-of-william-s-burroughs_12326707824_o.jpg
H31?,Call Me Burroughs: A Life,"New York, NY: Hachette Book Group",2014,First. Barry Miles' biography of Burroughs.,,Call%20Me%20Burroughs%3A%20A%20Life.resources/call-me-burroughs-a-life_12616380633_o.jpg
I11b,William S. Burroughs A Collector's Guide,"Providence, RI: Inkblot; distributed by Aftermath Books",2014,First thus. Softbound.,,William%20S.%20Burroughs%20A%20Collector's%20Guide.resources/william-s-burroughs-a-collectors-guide.jpg
A82,The Travel Agency Is on Fire,"New York: The Center for the Humanities, The Graduate Center, The City University of New York",2015,"First. Alex Wermer-Colan, ed. (Lost and Found: The CUNY Poetics Document Initiative; Ser. 5, No. 2) Staplebound.",,The%20Travel%20Agency%20Is%20on%20Fire.resources/the-travel-agency-is-on-fire.jpg
